id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_superhost
926137050779025258,207865971,Álvaro Obregón,19.311266945541416,-99.2186123254664,Entire home/apt,450.0,1,2,0.08,1,269,0,0
926146331431940799,272628416,Cuauhtémoc,19.413079867911588,-99.17623829813412,Entire home/apt,559.0,2,98,3.61,28,170,46,1
926216850756691375,272628416,Cuauhtémoc,19.412846137809986,-99.17725710668982,Entire home/apt,610.0,2,131,4.85,28,167,55,1
926238377578899492,272628416,Cuauhtémoc,19.41323148512807,-99.17705770045563,Entire home/apt,774.0,2,135,4.96,28,138,61,1
926332994058631174,42547332,Cuauhtémoc,19.42283,-99.15885,Entire home/apt,1215.0,6,0,0.0,1,358,0,0
926403525059849413,790208,Miguel Hidalgo,19.40711180019291,-99.18753549456596,Entire home/apt,2925.0,2,69,2.69,5,298,34,1
926819091589876388,52070387,Miguel Hidalgo,19.44465,-99.17177,Entire home/apt,892.0,3,34,1.3,1,326,17,1
926833486630698251,233516533,Cuauhtémoc,19.41228198208399,-99.17758632931915,Private room,504.0,3,1,0.04,1,304,0,0
926836338525637648,129347264,Cuauhtémoc,19.4217198,-99.1465882,Entire home/apt,550.0,4,16,0.62,2,358,8,0
926983446055998397,86611824,Álvaro Obregón,19.368294571190816,-99.26141185648343,Entire home/apt,1005.0,2,65,2.39,1,237,25,1
927034703024419065,60117093,Benito Juárez,19.385036205349685,-99.14761275123278,Private room,400.0,1,24,0.9,1,350,4,0
927058772317651108,523370206,Cuauhtémoc,19.4271,-99.15649,Private room,550.0,5,0,0.0,1,57,0,0
927105084423183740,523380457,Cuauhtémoc,19.40295221991995,-99.16537990190984,Entire home/apt,877.0,2,6,0.22,1,139,0,0
927498127109834098,198059056,Cuauhtémoc,19.41575,-99.17079,Private room,952.0,1,142,5.33,3,239,52,1
927565315041626768,522404156,Cuauhtémoc,19.4123242,-99.1756648,Entire home/apt,1484.0,2,22,0.85,5,311,13,0
927565426650090094,522404156,Cuauhtémoc,19.4123242,-99.1756648,Entire home/apt,1183.0,2,13,0.48,5,313,1,0
927565571264816879,522404156,Cuauhtémoc,19.4123242,-99.1756648,Entire home/apt,1289.0,2,7,0.27,5,338,4,0
927566041242408076,522404156,Cuauhtémoc,19.4123242,-99.1756648,Entire home/apt,1183.0,2,8,0.31,5,316,1,0
927572383683519123,2621979,Cuauhtémoc,19.44083,-99.13117,Entire home/apt,650.0,5,1,0.04,1,158,0,0
927607279937907110,27640175,Benito Juárez,19.38425,-99.17817,Entire home/apt,600.0,1,2,0.23,34,335,2,0
927609656014936432,27640175,Benito Juárez,19.38552307988337,-99.17673874416288,Entire home/apt,632.0,30,3,0.12,34,290,1,0
927625614334188099,523537122,Benito Juárez,19.3649,-99.14054,Entire home/apt,571.0,1,201,7.42,3,180,71,1
927626708026703684,498402924,Benito Juárez,19.38531,-99.15034,Entire home/apt,895.0,4,42,1.67,1,225,20,1
927680042212636244,341266982,Benito Juárez,19.36626,-99.16035,Entire home/apt,1031.0,2,42,1.63,3,258,19,1
927691590044704870,455989965,Coyoacán,19.35098,-99.14589,Entire home/apt,1130.0,1,58,2.27,15,206,30,1
927695542422121389,45614603,Benito Juárez,19.3578,-99.15312,Entire home/apt,775.0,2,40,1.53,3,107,27,1
927708084389781518,45614603,Coyoacán,19.35598585273808,-99.15411338656592,Entire home/apt,866.0,2,33,1.41,3,235,24,1
927791640993167522,19753224,Cuauhtémoc,19.420988479978515,-99.15764763951302,Entire home/apt,1412.0,1,30,1.13,19,339,12,1
927795375131595959,23021265,Cuauhtémoc,19.40748,-99.17413,Entire home/apt,666.0,1,11,0.88,27,321,10,0
927843783051405009,161016544,Benito Juárez,19.4023534,-99.1516276,Entire home/apt,523.0,3,119,4.39,4,184,51,1
927850596078920381,150617712,Cuauhtémoc,19.4057592,-99.1744741,Private room,396.0,1,47,1.75,88,311,13,1
928192219086198271,302431514,Cuauhtémoc,19.4378262,-99.1644575,Entire home/apt,1125.0,3,54,2.01,79,39,31,0
928221765842455602,443619535,Tlalpan,19.29684,-99.16907,Private room,548.0,1,2,0.09,4,244,0,0
928251859670647028,87322603,Cuauhtémoc,19.4162393,-99.1730559,Entire home/apt,1362.0,2,55,2.03,3,197,21,1
928293528270279743,15359500,Cuauhtémoc,19.4277736,-99.1734443,Private room,662.0,1,89,3.45,50,312,41,1
928315861122077642,519591502,Cuauhtémoc,19.41233,-99.16069,Entire home/apt,1195.0,1,45,1.75,7,89,29,1
928327687757132310,523704105,La Magdalena Contreras,19.31521,-99.23129,Entire home/apt,1252.0,1,2,0.07,1,90,0,0
928343071448046248,15359500,Cuauhtémoc,19.4277736,-99.1734443,Private room,664.0,1,47,1.85,50,351,10,1
928344634275012359,519591502,Cuauhtémoc,19.41248,-99.16067,Entire home/apt,957.0,1,41,1.55,7,84,30,1
928347142624303675,519591502,Cuauhtémoc,19.41241763916514,-99.160659863143,Entire home/apt,896.0,1,33,1.35,7,74,21,1
928348091264628487,519591502,Cuauhtémoc,19.413023681218974,-99.160231334711,Entire home/apt,1120.0,1,41,1.54,7,78,22,1
928349730306229353,519591502,Cuauhtémoc,19.4127863046314,-99.16063032046682,Entire home/apt,930.0,1,32,1.2,7,88,18,1
928365353294255728,523745724,Gustavo A. Madero,19.485693163841585,-99.11838951519348,Private room,323.0,1,167,6.17,6,359,76,1
928404882921957737,15359500,Cuauhtémoc,19.4277736,-99.1734443,Private room,645.0,1,88,3.52,50,355,29,1
928417619025420979,15359500,Cuauhtémoc,19.4277736,-99.1734443,Private room,662.0,1,31,1.46,50,351,20,1
928439519955570720,523766032,Cuauhtémoc,19.4102069,-99.1764197,Entire home/apt,1476.0,3,49,1.93,1,271,22,1
928445707015989693,15359500,Cuauhtémoc,19.4298558,-99.1714115,Private room,638.0,1,8,0.3,50,355,5,0
928483007796232719,51970851,Cuauhtémoc,19.42002,-99.16906,Entire home/apt,1217.0,3,16,0.63,1,18,12,0
928485145762789087,220768680,Coyoacán,19.327258571962425,-99.16320814965192,Private room,192.0,3,21,0.78,8,338,4,0
928494905559190973,523745724,Gustavo A. Madero,19.486774352051377,-99.11963070676892,Private room,319.0,1,123,4.55,6,361,50,1
928514751131743902,523745724,Gustavo A. Madero,19.485224178727147,-99.12000565005668,Private room,317.0,1,129,4.77,6,362,53,1
928518741300666123,523745724,Gustavo A. Madero,19.485596930524405,-99.11794189275588,Private room,319.0,1,160,5.9,6,362,65,1
928592622858108081,369403303,Miguel Hidalgo,19.43642598611786,-99.19660508920094,Private room,665.0,1,83,3.06,18,361,26,1
928824364768834228,6675227,Cuauhtémoc,19.410055889729467,-99.16248672835944,Entire home/apt,1561.0,3,0,0.0,1,85,0,0
928900010847109032,523878196,Benito Juárez,19.3626748,-99.163069,Entire home/apt,704.0,3,7,0.27,1,363,1,0
928969722693591543,515103141,Cuauhtémoc,19.4120958,-99.1354042,Entire home/apt,895.0,3,21,0.82,2,85,3,0
929005567512719998,221053986,Álvaro Obregón,19.3477648,-99.2541019,Private room,422.0,1,5,0.19,4,174,0,0
929036069500196793,27449159,Cuauhtémoc,19.4340867,-99.1469341,Entire home/apt,1086.0,1,63,2.43,99,356,52,1
929044977106455527,429177103,Miguel Hidalgo,19.441713434169426,-99.19601130422971,Entire home/apt,1224.0,2,1,0.04,1,205,0,0
929048142238061599,207240505,Cuauhtémoc,19.46058,-99.14884,Private room,1540.0,7,0,0.0,91,364,0,0
929097336246562994,207240505,Cuauhtémoc,19.462080401718765,-99.14842153975052,Private room,2160.0,7,0,0.0,91,365,0,0
929150915255297941,110554010,Cuauhtémoc,19.43160609807552,-99.14980620145798,Private room,1093.0,1,11,0.45,7,178,1,0
929172814197274483,523966495,Cuauhtémoc,19.432617276540352,-99.14274471534424,Entire home/apt,769.0,2,66,2.54,1,306,37,1
929244782739795159,272628416,Cuauhtémoc,19.411886032690827,-99.17550743863062,Entire home/apt,476.0,2,153,5.67,28,174,74,1
929269156142738601,443690984,Cuauhtémoc,19.43850963829013,-99.15491187301636,Entire home/apt,1607.0,4,38,1.54,6,185,15,1
929293554587655457,302431514,Cuauhtémoc,19.4260089,-99.1755645,Entire home/apt,1320.0,3,28,1.12,79,35,13,0
929296159407394050,369403303,Miguel Hidalgo,19.4499343,-99.1773893,Entire home/apt,1174.0,1,1,0.04,18,238,0,0
929320799556826065,521516499,Cuauhtémoc,19.40434,-99.16106,Private room,405.0,3,5,0.22,1,73,0,0
929341106622283464,127917683,Cuauhtémoc,19.44895055807718,-99.14875767650096,Entire home/apt,816.0,2,70,2.62,25,323,40,1
929357015481942958,524011213,Cuauhtémoc,19.4208187,-99.146199,Private room,370.0,2,1,0.09,1,179,1,0
929608314020909913,524071718,Gustavo A. Madero,19.48509,-99.11866,Private room,322.0,1,152,5.62,7,356,67,1
929630617829267405,524071718,Gustavo A. Madero,19.48543,-99.12029,Private room,340.0,1,120,4.47,7,362,34,1
929647414956098543,524071718,Gustavo A. Madero,19.48519,-99.12001,Private room,323.0,1,133,4.98,7,362,49,1
929652286777119235,524071718,Gustavo A. Madero,19.485105581870144,-99.11797331103098,Private room,337.0,1,158,5.85,7,359,64,1
929713567529771714,524111275,Cuauhtémoc,19.4305,-99.16731,Entire home/apt,1575.0,1,157,5.84,2,256,61,1
929735287898233607,23382111,Cuauhtémoc,19.407596787190126,-99.17960928218376,Entire home/apt,1387.0,1,33,1.25,50,327,22,1
929744861131097119,422844046,Miguel Hidalgo,19.44089,-99.19091,Private room,475.0,1,60,2.6,6,212,26,1
929859586435873539,100411809,Cuauhtémoc,19.40835,-99.17087,Entire home/apt,2786.0,2,65,2.47,2,300,36,1
929895072880882363,75001920,Cuauhtémoc,19.4454,-99.15111,Entire home/apt,770.0,2,34,1.47,1,331,23,1
929927840490364665,272628416,Cuauhtémoc,19.411872213105266,-99.17786609174811,Entire home/apt,452.0,2,117,4.37,28,129,60,1
929968656204683670,524111321,Gustavo A. Madero,19.48655,-99.1203,Private room,345.0,1,157,5.81,6,345,73,1
929983767662892769,213439674,Álvaro Obregón,19.3684717,-99.261149,Entire home/apt,1339.0,15,17,0.66,3,307,3,0
930010459506623560,18297383,Azcapotzalco,19.474455938704256,-99.14806122734063,Entire home/apt,1140.0,2,26,1.01,1,123,8,1
930346928119266771,227002676,Miguel Hidalgo,19.44169,-99.202,Entire home/apt,2406.0,7,1,0.04,22,126,0,0
930400044847087964,67827922,Cuauhtémoc,19.42192,-99.15356,Entire home/apt,804.0,2,1,1.0,1,193,1,0
930474268329580381,524318981,Cuauhtémoc,19.41701,-99.16531,Private room,6873.0,1,0,0.0,11,313,0,0
930474702203899756,30418640,Miguel Hidalgo,19.428232,-99.188962,Entire home/apt,2890.0,1,2,0.09,10,294,1,0
930476454551057900,103589984,Tlalpan,19.27069,-99.15144,Private room,300.0,30,3,0.14,2,365,0,0
930494437162501065,62271021,Miguel Hidalgo,19.432644,-99.189516,Entire home/apt,4062.0,1,9,0.36,7,298,5,0
930550600491588115,524318981,Cuauhtémoc,19.41859,-99.1671,Private room,7021.0,1,0,0.0,11,302,0,0
